"Estimate your age using your face","Lass dein Alter anhand deines Gesichts schätzen"
"Find a light area","Finde einen gut ausgeleuchteten Ort"
"Remove hat to reduce shadow","Entferne alle Kopfbedeckungen, um Schatten zu reduzieren"
"Keep your glasses on","Behalte deine Brille auf"
"You will be asked to enable camera access","Du wirst aufgefordert, den Zugriff auf die Kamera zu ermöglichen"
"It seems we need additional confirmation.","Es sieht so aus, als ob wir eine weitere Bestätigung für dein Alter benötigen."
"Please contact our customer service via chat.","Bitte kontaktieren Sie unseren Kundenservice per Chat."
"We will need your identity document at this stage.","An dieser Stelle benötigen wir deinen Personalausweis."
"Our customer service could not establish that you are over %1. You will now be redirected from our site in 10 seconds.","Unser Kundenservice konnte nicht feststellen, dass du über %1 bist. Sie werden nun in 10 Sekunden von unserer Seite umgeleitet."
"We invite you to take a photo of your face, making sure you are in an illuminated space and that your face is clear.","Wir bitten dich ein, ein Foto von deinem Gesicht zu machen, wobei du darauf achten solltest, dass du dich in einem beleuchteten Raum befindest und dein Gesicht klar erkennbar ist."
"You can take a selfie with your smartphone or a photo with your webcam.","Du kannst ein Selfie mit deinem Smartphone oder ein Foto mit deiner Webcam machen."
"Once these conditions are met, take the photo.","Wenn diese Bedingungen erfüllt sind, nimm das Foto auf."
"Opposite an example","Auf der anderen Seite siehst du ein Beispiel"
"Take picture","Bild aufnehmen"
"Upload my documents","Meinen Personalausweis hochladen"
"Documents and images will be automatically deleted after verification","Dokumente und Bilder werden nach der Überprüfung automatisch gelöscht"
"Start again","Erneut beginnen"
"Start chat","Starte den Chat"
"Start estimation","Schätzung starten"
"Calculating your age…","Berechnung deines Alters……"
"Preparing camera…","Vorbereiten der Kamera…"
"Your account has been verified. You can now order on our site.","Dein Konto wurde validiert. Du kannst jetzt auf unserer Seite bestellen."
"Continue to our site","Weiter zur unserer Seite"
"Finish the checkout","Beende den Checkout"
"Welcome %1 !","Willkommen %1 !"
"Welcome <span></span>!","Willkommen <span></span>!"
"Welcome to %store_name.","Willkommen bei %store_name."
"Welcome to %store_name!","Willkommen bei %store_name!"
