"We were unable to read your ID information due to the image quality.","Nous n’avons pas pu lire les informations de votre carte d’identité  en raison de la qualité de l’image."
"Please make sure that the information on your ID is easily readable.","Veuillez vous assurer que les informations de votre carte d’identité soient correctement lisibles."
"Upload my documents","Télécharger mes documents"
"Documents and images will be automatically deleted after verification","Les documents et les images seront automatiquement supprimés après vérification"
"Face not found.","Aucun visage détecté."
"Multiple faces in the image provided.","Plusieurs visages détectés."
"The face in the image provided is too small.","Photo du visage trop petite."
"Face ratio is lower than the minimum ratio.","Photo du visage trop petite."
"Face ratio is bigger than the maximum ratio.","Photo du visage trop grande."
"Image too bright.","Photo trop éclairée."
"Image too dark.","Photo trop sombre."
"Insufficient area around the face in the image provided.","Photo mal cadrée, le visage est trop proche du cadre."
"A technical problem has occurred.","Un problème technique est survenu."
"Image has not been provided.","Un problème technique est survenu, pas de photo fournie."
"Payload too large.","Un problème technique est survenu, la photo est trop grosse."
"Image format not supported. Only JPEGs (95 to 100 quality) and PNGs are allowed.","Image invalide."
"Image size too big, the maximum size is 2MB.","Image invalide."
"Image size too small, the minimum size is 50KB.","Image invalide."
"Minimum image height supported is 300 pixels.","Image invalide."
"Maximum image height supported is 2000 pixels.","Image invalide."
"Minimum image width supported is 300 pixels.","Image invalide."
"Maximum image width supported is 2000 pixels.","Image invalide."
"Minimum number of image pixels supported is 90,000.","Image invalide."
"Maximum number of image pixels supported is 2,100,000.","Image invalide."
"Missing colour channel, the input image must be RGB or RGBA.","Image invalide."
"Grayscale images not supported.","Image invalide."
"Invalid device metadata provided.","Un problème technique est survenu."
"Unknown Error.","Une erreur interne est survenue."
"Please use valid image type.","Veuillez utiliser une photo valide."
"Image exceeds maximum allowed size.","La photo dépasse la taille autorisée."
"Image should have minimum dimension of %1 px.","La photo doit avoir une dimension d'au moins %1 px."
"Please retry or contact the customer care team.","Merci de réessayer ou de contacter notre service client."
