"Estimate your age using your face","Estimez votre âge à l'aide de votre visage"
"Find a light area","Trouvez un endroit bien éclairé"
"Remove hat to reduce shadow","Retirez tout chapeau pour réduire l'ombre"
"Keep your glasses on","Gardez vos lunettes"
"You will be asked to enable camera access","Il vous sera demandé d'activer l'accès à la caméra"
"It seems we need additional confirmation.","Il semblerait que nous ayons besoin d'une confirmation supplémentaire."
"Please contact our customer service via chat.","Veuillez SVP contacter note service clientèle en cliquant sur LANCER LE CHAT."
"We will need your identity document at this stage.","Nous allons à cette étape avoir besoin de votre pièce d'identité."
"Our customer service could not establish that you are over %1. You will now be redirected from our site in 10 seconds.","Notre service clientèle n'a pas pu établir que vous avez plus de %1 ans. Vous serez redirigé dans 10 secondes."
"We invite you to take a photo of your face, making sure you are in an illuminated space and that your face is clear.","Nous vous invitons a prendre votre visage en photo en vous assurant que vous etes dans un espace éclairé et que votre visage est bien dégagé."
"You can take a selfie with your smartphone or a photo with your webcam.","Vous puvez prendre en selfie avec votre smartphone ou une photo avec votre webcam."
"Once these conditions are met, take the photo.","Une fois ces conditions réunies, prenez la photo."
"Opposite an example","Ci-contre un example"
"Take picture","Prendre une photo"
"Upload my documents","Telecharger ma carte d'identite"
"Documents and images will be automatically deleted after verification","Les documents et images seront automatiquement supprimés suite à la vérification"
"Start again","Reprendre"
"Start chat","Lancer le chat"
"Start estimation","Commencer l'estimation"
"Calculating your age…","Calculer votre âge…"
"Preparing camera…","Préparation de la caméra…"
"Your account has been verified. You can now order on our site.","Votre compte est validé. Vous pouvez désormais commander sur notre site."
"Continue to our site","Continuer sur le site Vype"
"Finish the checkout","Je finalise ma commande"
"Welcome %1 !","Bienvenue %1 !"
"Welcome <span></span>!","Bienvenue <span></span>!"
"Welcome to %store_name.","Bienvenue sur %store_name."
"Welcome to %store_name!","Bienvenue sur %store_name!"
"We confirm that we have been able to certify your age.","Nous vous confirmons que nous avons été en mesure de certifier votre âge."
"You can now order on the %store_name website.","Vous pouvez dès maintenant commander sur le site %store_name."
"Hi %name,","Bonjour %name,"
"Once we've verified your age, you'll be able to:","Une fois que nous aurons vérifié votre âge, vous pourrez :"
"Place your orders faster","Passer vos commandes plus rapidement"
"Check the status of your orders","Vérifier le statut de vos commandes"
"Consult the balance of your loyalty points","Consulter le solde de vos points fidélité"
"Change your delivery addresses","Modifier vos adresses de livraison"
"If you have not yet verified your age, click on this link:","Si vous n’avez pas encore procédé à la vérification de votre âge, cliquez sur ce lien :"
"To connect, use the identifiers provided when ordering or by going to the <a href=""%customer_url"">My Account</a> page.","Pour vous connecter, utilisez les identifiants renseignés lors de votre commande ou en vous rendant sur la page <a href=""%customer_url"">Mon Compte</a>."
"Thank you,","Merci,"
"Thank you","Merci"
"The %store_name team","L’équipe %store_name"
"Age Verification Success Page","Page de réussite de la vérification de l'âge"
"Age Verification Page","Verification de l'Âge"

"Unfortunately your browser is not supported.","Désolé, votre navigateur n'est pas pris en charge."
"Please try again using a different browser.","Veuillez réessayer en utilisant un autre navigateur."
"Sorry, we couldn't access your camera.","Désolé, nous n'avons pas pu accéder à votre caméra."
"Please enable access to the camera and then resume the age verification process by logging in with your email and password.","Veuillez activer l’accès à la caméra puis reprendre le processus de vérification d’âge en vous connectant avec votre e-mail et votre mot de passe."
"Something went wrong.","Un problème est survenu."
"Please refresh the browser and try again.","Veuillez actualiser le navigateur et réessayer."
"Image exceeds maximum allowed size.","La photo dépasse la taille autorisée."
"Please use valid image type.","Veuillez utiliser une photo valide."
"Image should have minimum dimension of %1 px.","La photo doit avoir une dimension d'au moins %1 px."
"Unknown Error.","Une erreur interne est survenue."
", %1 undertakes to sell its products only to adults.",", %1 s'engage à vendre ses produits uniquement aux personnes majeures."
"We therefore have to be sure that you are over the age of %1 to continue shopping on our site, so your photo will be analyzed to identify your age.","Nous devons donc être certain que vous avez 18 ans révolus pour poursuivre vos achats sur notre site. Par conséquent, votre photo sera analysée afin d’identifier votre âge."
"Verify your age with a selfie","Verifiez votre âge grâce à un selfie"
"Instant response","Réponse instantanée"
"Your computer or smartphone must have a camera","Votre ordinateur ou smartphone doit avoir une caméra"
"I'm not 18 years old","Je n'ai pas 18 ans"
"Modify your registration details","Modifier les informations de votre compte"
"Dear ","Cher "
"Sorry, we were not able to verify your age. You will now be redirected from our site in 5 seconds.","Désolé, nous n'avons pas pu vérifier votre âge. Vous serez redirigé dans 10 secondes."
"You are already age verified.","Votre compte est validé et vous pouvez vous connecter"
"Your browser is not supported","Votre navigateur n'est pas supporté"
"To create an account, we need to verify your age.","La création de votre compte va nécessiter la vérification de votre âge."
"To use our age verification service, we recommend that you use Chrome or Safari","Nous utilisons pour cela un outil pour lequel nous recommandons d’utiliser Chrome ou Safari"
"Bad request sent to Yoti","Nous n’avons pas pu prendre votre photo. Veuillez SVP reprendre le selfie dans de meilleures conditions."
"Our customer service could not establish that you are over 18.","Notre service clientèle n'a pas pu établir que vous avez plus de 18 ans."
"We are very sorry however the maximum amount of requests have been exhausted and we have not been able to verify your details.","Nous sommes désolés mais après plusieurs essaies nous n'avons pas été en mesure de vérifier vos informations."
"Please contact our <a href=""mailto:%1"">customer service</a> if you require assistance.","Veuillez contacter notre <a href=""mailto:%1"">service clientèle</a> si vous avez besoin d'assistance."
"Sorry, something went wrong. Please restart the doc scan process by clicking the button below or contact our <a href=""mailto:%1"">customer service</a> if you require assistance.","Désolé, une erreur s'est produite. Veuillez recommencer le processus de numérisation de documents en cliquant sur le bouton ci-dessous ou contactez notre <a href=""mailto:%1"">service clientèle</a> si vous avez besoin d’assistance."
"This seems to take longer then usual, please do not close your tab, we will try to resend your details after 30 seconds.","Cela semble prendre plus de temps que d'habitude, veuillez ne pas fermer votre onglet, nous essaierons de renvoyer vos informations dans 30 secondes."
"Sorry we couldn't launch our ID Scan Service","Désolé, nous n'avons pas pu lancer notre service de numérisation de pièce d’idendité"
"Image too big","Image trop grande"
"Unable to decode image (not a JPEG or wrong base64 string)","Impossible de décoder l'image (pas une chaîne JPEG ou une chaîne base64 incorrecte)"
"No face detected","Aucun visage détecté"
"Spoofing attempt detected","Tentative d'usurpation d'identité détectée"
"No image detected​","Aucune image détectée"
"Please wait, we are processing your documents. It will take a maximum of 10 minutes. We ask you not to refresh this page or close this tab.","Veuillez patienter, nous traitons vos documents. Cela prendra au maximum 10 minutes. Nous vous prions de ne pas actualiser cette page ou fermer cet onglet."
"Please note that your photo will not be kept after estimating your age.","Nous vous rappelons qu'en aucun cas votre photo ne sera conservée après estimation de votre âge."
"We were unable to detect your face in order to estimate your age.","Nous n'avons pas pu détecter votre visage afin d'estimer votre âge."
"We were unable to read your ID information due to the image quality.","Nous n'avons pas pu lire les informations sur votre pièce d`identité en raison de la qualité de l'image."
"Please make sure that the information on your ID is easily readable.","Assurez-vous que les informations présentes sur votre piéce d`identité sont aisément lisibles SVP."
"Please contact us so we can assist you further.","Vous pouvez nous contacter afin de bénéficier de notre assistance."
"Contact us","nous contacter"
"We confirm the validation of your account.","Nous vous confirmons la validation de votre compte."
"As a reminder, we do not keep personal data (photos or documents) communicated as part of the process of certifying your age.","Pour rappel, nous ne conservons pas les données personnelles (photos ou documents) communiquées dans le cadre du processus de vérification de votre majorité."
"See you soon on GoVype.fr","A bientôt sur GoVype.fr"
"See you soon on <a href="%store_url">%store_name</a>","A bientôt sur <a href="%store_url">%store_name</a>"
"We are unable to confirm your age via our online tool.","Nous ne sommes pas en mesure de confirmer votre majorité via notre outil en ligne."
"If you think this is an error on our part, we invite you to contact our customer service on 0 805 200 098 from Monday to Friday from 9 a.m. to 6 p.m. or by email at %email.","Si vous pensez que c’est une erreur de notre part, nous vous invitons à contacter notre service client au 0 805 200 098 du lundi au vendredi de 9h à 18h ou par email à %email."
"Face not found.","Aucun visage détecté."
"Multiple faces in the image provided.","Plusieurs visages détectés."
"The face in the image provided is too small.","Photo du visage trop petite."
"Face ratio is lower than the minimum ratio.","Photo du visage trop petite."
"Face ratio is bigger than the maximum ratio.","Photo du visage trop grande."
"Image too bright.","Photo trop éclairée."
"Image too dark.","Photo trop sombre."
"Insufficient area around the face in the image provided.","Photo mal cadrée, le visage est trop proche du cadre."
"A technical problem has occurred.","Un problème technique est survenu."
"Image has not been provided.","Un problème technique est survenu, pas de photo fournie."
"Payload too large.","Un problème technique est survenu, la photo est trop grosse."
"Image format not supported. Only JPEGs (95 to 100 quality) and PNGs are allowed.","Image invalide."
