We will need your identity document at this stage.,Na tym etapie będziemy potrzebować Twojego dokumentu tożsamości.
Upload my documents,Załaduj mój dokument
Documents and images will be automatically deleted after verification,Dokumenty i obrazy zostaną automatycznie usunięte po weryfikacji
Start again,Rozpocznij ponownie
Calculating your age…,Obliczamy Twój wiek…
Your account has been verified. You can now order on our site.,Twoje konto zostało zweryfikowane. Możesz teraz złożyć zamówienie.
Continue to our site,Przejdź do naszej strony
Finish the checkout,Dokończ zakupy
Welcome,Witamy
Welcome to,Witamy na
We confirm that we have been able to certify your age.,"Potwierdzamy, że udało nam się zweryfikować Twój wiek."
You can now order on the,Możesz teraz złożyć zamówienie na
Hi,Cześć
"Once we've verified your age, you'll be able to:",Po weryfikacji wieku będziesz mógł/a:
Place your orders faster,Szybciej składać zamówienia
Check the status of your orders,Sprawdzać status swoich zamówień
Consult the balance of your loyalty points,Sprawdzać bilans punktów lojalnościowych
Change your delivery addresses,Zmieniać adres dostawy
"If you have not yet verified your age, click on this link:","Jeżeli nie potwierdziliśmy jeszcze Twojego wieku, kliknij tutaj:"
"To connect, use the identifiers provided when ordering or by going to the","Aby uzyskać połączenie, użyj identyfikatorów podanych przy zamawianiu lub przejdź na"
"Thank you,","Dziękujemy,"
Age Verification Success Page,Weryfikacja wieku udana
Age Verification Page,Strona weryfikacji wieku
Unfortunately your browser is not supported.,Niestety nie wspieramy Twojej przeglądarki.
Please try again using a different browser.,"Spróbuj jeszcze raz, używając innej przeglądarki"
Something went wrong,Coś poszło nie tak…
Please refresh the browser and try again.,Odśwież stronę i spróbuj ponownie.
Image exceeds maximum allowed size.,Obraz ma zbyt duże rozmiary.
Please use valid image type.,Użyj dozwolonego rodzaju obrazu.
undertakes to sell its products only to adults.,dokonuje sprzedaży produktów tylko osobom dorosłym
Instant response,Natychmiastowa odpowiedź
I'm not %1 years old,Mam mniej niż %1 lat
Modify your registration details,Zmień swoje dane rejestracyjne
Dear,Drogi/a
"Sorry, we were not able to verify your age. You will now be redirected from our site in 5 seconds.",Przepraszamy. Nie jesteśmy w stanie potwierdzić Twojego wieku. Zostaniesz przekierowany/a z naszej strony w ciągu 5 sekund.
You are already age verified.,Twój wiek został już zweryfikowany.
Your browser is not supported,Twoja przeglądarka nie jest wspierana
"To create an account, we need to verify your age.","Aby stworzyć Twoje konto, musimy potwierdzić Twój wiek."
"To use our age verification service, we recommend that you use Chrome or Safari",Rekomendujemy przeglądarkę Chrome lub Safari do użycia naszej usługi potwierdzenia wieku
Bad request sent to Yoti,Nieprawidłowe żądanie wysłane do Yoti
We are very sorry however the maximum amount of requests have been exhausted and we have not been able to verify your details.,"Przepraszamy, przekroczyliśmy maksymalną liczbę połączeń i nie udało nam się zweryfikować Twoich danych."
"Sorry, something went wrong. Please restart the doc scan process by clicking the button below or contact our <a href=mailto:%1"">customer service</a> if you require assistance.""","Przepraszamy, coś poszło nie tak. Prosimy o ponowne uruchomienie skanu dokumentów poprzez kliknięcie poniższego przycisku, lub kontakt z <a href=mailto:%1"">customer service</a> jeżeli potrzebujesz pomocy."""
"This seems to take longer than usual, please do not close your tab, we will try to resend your details after 30 seconds.","Proces trwa dłużej niż zwykle… Nie zamykaj okna przeglądarki, postaramy się przesłać Twoje dane ponownie za 30 sekund."
Sorry we couldn't launch our ID Scan Service,Nie udało się uruchomić usługi skanowania dokumentów. Przepraszamy.
"Please wait, we are processing your documents. It will take a maximum of 10 minutes. We ask you not to refresh this page or close this tab.","Poczekaj, przetwarzamy Twój dokument. Zajmie to maksymalnie 10 minut. Nie odświeżaj ani nie zamykaj tej strony."
We were unable to read your ID information due to the image quality.,Nie udało nam się odczytać informacji z Twojego dokumentu ze względu na słabą jakość obrazu.
Please make sure that the information on your ID is easily readable.,"Upewnij się, że informacje na Twoim dokumencie są czytelne."
Please contact us so we can assist you further.,"Skontaktuj się z nami, jeżeli potrzebujesz dalszej pomocy."
Contact us,Kontakt
We confirm the validation of your account.,Potwierdzamy weryfikację Twojego konta.
"As a reminder, we do not keep personal data (photos or documents) communicated as part of the process of certifying your age.","Przypominamy, że nie przechowujemy danych osobowych (zdjęć i dokumentów) przekazanych w procesie potwierdzenia Twojego wieku."
See you soon on discoverglo.com,Do zobaczenia na discoverglo.com!
Confirm your age,Potwierdzić Twój wiek
Message important,Wiadomość ważna
Your account has not been approved.,Twoje konto nie zostalo zatwierdzone
Your account requires approval before you can log in.,Twoje konto wymaga zatwierdzenia przed zalogowaniem.
"Thank you for registering your account at our website.","Dziękujemy za próbę rejestracji na naszej stronie."
"Unfortunately, we cannot accept your account.","Niestety nie możemy zaakceptować twojego konta."
"Please contact us for more information.","Jeśli potrzebujesz dodatkowych informacji skontaktuj się z nami."
"Thanks","Dziękujemy"
"Welcome <span></span>!","Witaj <span></span>!"
"Thank you","Dziękujemy"
"Please retry or contact the customer care team.",""
